"","STNAME","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","H_MALE","H_FEMALE"
"292","West Virginia",3,461667,461667,231919,216821,220236,8621,6943,3614,2937
"293","West Virginia",4,412728,412728,215692,188202,206497,5667,5609,1434,1354
"294","West Virginia",5,83982,83982,50833,32084,48968,569,1159,268,402
"295","Wisconsin",0,5822434,5822434,2925225,2525105,2542676,192304,198239,212628,200580
"296","Wisconsin",1,1422095,1422095,695351,588223,560917,67313,63953,86377,83414
"297","Wisconsin",2,1505295,1505295,737413,643293,614266,62597,61552,66730,61121
"298","Wisconsin",3,1477023,1477023,737634,666473,658868,41138,44696,44762,40653
"299","Wisconsin",4,1170814,1170814,604301,534303,564789,19006,24012,13269,13031
"300","Wisconsin",5,247207,247207,150526,92813,143836,2250,4026,1490,2361
"301","Wyoming",0,578759,578759,284029,272532,262839,4408,3059,30732,27877
"302","Wyoming",1,148172,148172,71623,68329,64011,1192,991,11464,10576
"303","Wyoming",2,154264,154264,73903,73054,67168,1706,1005,9747,8344
"304","Wyoming",3,136658,136658,66823,65673,62822,951,541,6189,5538
"305","Wyoming",4,118025,118025,59046,56749,56613,513,458,2922,2878
"306","Wyoming",5,21640,21640,12634,8727,12225,46,64,410,541
