"","STNAME","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","H_MALE","H_FEMALE"
"65","Georgia",4,1637103,1637103,886555,544686,611885,175724,238411,23897,25206
"66","Georgia",5,287235,287235,181924,84010,137106,17868,39975,2500,4056
"67","Hawaii",0,1427559,1427559,710243,201212,170443,18710,12026,76342,72250
"68","Hawaii",1,337541,337541,163928,32597,30744,3852,3556,30984,29350
"69","Hawaii",2,398296,398296,187735,67869,50085,9172,5287,26926,23424
"70","Hawaii",3,355108,355108,177478,50286,41521,4113,2217,13058,13155
"71","Hawaii",4,267980,267980,138888,43978,40076,1412,839,4873,5588
"72","Hawaii",5,68634,68634,42214,6482,8017,161,127,501,733
"73","Idaho",0,1682380,1682380,839684,786628,783104,8202,6278,107531,101042
"74","Idaho",1,483243,483243,236770,224995,215059,2837,2870,44039,43575
"75","Idaho",2,442662,442662,216284,208654,199456,3010,2025,35474,30977
"76","Idaho",3,403575,403575,202176,190138,190566,1779,983,20799,19316
"77","Idaho",4,296614,296614,151797,139792,146299,542,348,6496,6286
"78","Idaho",5,56286,56286,32657,23049,31724,34,52,723,888
"79","Illinois",0,12820527,12820527,6523208,4904736,4992889,882697,996345,1111216,1059250
"80","Illinois",1,3260087,3260087,1594940,1233341,1175017,269419,262679,403217,389410
"81","Illinois",2,3507047,3507047,1737106,1336134,1282986,267084,283175,359650,330338
"82","Illinois",3,3390740,3390740,1719035,1338620,1333621,217087,258972,258389,239795
"83","Illinois",4,2170793,2170793,1160513,840968,935419,112073,157406,79515,84551
"84","Illinois",5,491860,491860,311614,155673,265846,17034,34113,10445,15156
"85","Indiana",0,6634304,6634304,3364178,2804660,2873660,309771,333170,232544,216472
"86","Indiana",1,1758389,1758389,858422,731976,695414,103992,100477,95170,92134
"87","Indiana",2,1754639,1754639,869676,738432,721137,94598,98008,74343,66167
"88","Indiana",3,1720748,1720748,867972,752144,756740,72816,81409,48049,42312
"89","Indiana",4,1153006,1153006,611435,497075,554774,33853,44271,13186,13378
"90","Indiana",5,247522,247522,156673,85033,145595,4512,9005,1796,2481
"91","Iowa",0,3131371,3131371,1574212,1417242,1443216,61947,54321,95812,87913
"92","Iowa",1,821510,821510,401137,365739,348270,22447,21189,40722,39311
"93","Iowa",2,819434,819434,398949,370162,355554,22196,18018,31768,27272
"94","Iowa",3,779632,779632,388945,364979,365132,12750,10115,18121,16012
"95","Iowa",4,565283,565283,293442,263512,284113,4110,4221,4594,4497
"96","Iowa",5,145512,145512,91739,52850,90147,444,778,607,821
"97","Kansas",0,2910844,2910844,1460597,1253306,1267678,92766,86838,176666,164075
"98","Kansas",1,797307,797307,388630,339184,321753,28433,27187,73896,70150
"99","Kansas",2,788779,788779,382298,339655,321827,31558,25988,57032,50480
"100","Kansas",3,712512,712512,357881,313697,316622,21675,20091,34561,31389
"101","Kansas",4,492960,492960,257708,217726,237189,9851,11160,9853,10171
"102","Kansas",5,119286,119286,74080,43044,70287,1249,2412,1324,1885
"103","Kentucky",0,4438182,4438182,2252014,1921106,1982295,182730,184776,85796,72514
"104","Kentucky",1,1125395,1125395,548867,484702,459629,55886,53638,33768,32012
"105","Kentucky",2,1164107,1164107,573167,507892,495576,58578,52899,29979,22307
"106","Kentucky",3,1177498,1177498,597403,520816,535146,44408,46436,17329,13489
"107","Kentucky",4,811830,811830,431825,352463,397858,21277,26483,4148,3831
"108","Kentucky",5,159352,159352,100752,55233,94086,2581,5320,572,875
"109","Louisiana",0,4678135,4678135,2390252,1464936,1490123,724407,800223,126429,109195
"110","Louisiana",1,1228883,1228883,602507,354890,338064,234558,229027,40331,38967
"111","Louisiana",2,1310971,1310971,653894,406303,388033,221168,236335,46121,34523
"112","Louisiana",3,1176610,1176610,603726,387440,389331,164919,192964,28261,22439
"113","Louisiana",4,803530,803530,430730,270300,299718,92351,119426,10116,10644
"114","Louisiana",5,158141,158141,99395,46003,74977,11411,22471,1600,2622
"115","Maine",0,1331317,1331317,679432,617257,644587,11352,9285,10740,10540
"116","Maine",1,287492,287492,139807,134388,126817,4306,4077,3932,3869
"117","Maine",2,308632,308632,153744,144440,143447,3844,2920,3808,3339
"118","Maine",3,375522,375522,192181,176038,184650,2390,1666,2087,2255
"119","Maine",4,296043,296043,154626,138200,151161,730,500,773,863
"120","Maine",5,63628,63628,39074,24191,38512,82,122,140,214
"121","Maryland",0,6003323,6003323,3093438,1762234,1803434,861256,980420,304848,282300
"122","Maryland",1,1499047,1499047,734665,418411,398220,248591,241817,110005,104673
"123","Maryland",2,1610053,1610053,808412,466752,443943,251534,274462,105399,89921
"124","Maryland",3,1654348,1654348,859354,491745,500634,234191,279061,70578,63928
"125","Maryland",4,1024803,1024803,555740,324684,361016,112382,156078,16824,20062
"126","Maryland",5,215072,215072,135267,60642,99621,14558,29002,2042,3716
"127","Massachusetts",0,6823608,6823608,3513095,2706484,2869739,285738,303963,389578,395500
"128","Massachusetts",1,1584880,1584880,779787,616486,594528,87981,85186,139884,134510
"129","Massachusetts",2,1877531,1877531,941577,728884,725740,93906,94723,139471,131906
"130","Massachusetts",3,1857980,1857980,955708,760591,799444,69842,77719,80947,89724
"131","Massachusetts",4,1213737,1213737,651819,503936,579854,29775,38393,26063,33620
"132","Massachusetts",5,289480,289480,184204,96587,170173,4234,7942,3213,5740
"133","Michigan",0,9950571,9950571,5053958,3919835,3998099,669707,738892,252525,244403
"134","Michigan",1,2463703,2463703,1204203,937615,892065,206989,200194,101891,98159
"135","Michigan",2,2551550,2551550,1260902,993915,955802,198858,206342,79877,74611
"136","Michigan",3,2657202,2657202,1348484,1080835,1088816,163846,190540,50884,49506
"137","Michigan",4,1875489,1875489,989953,771546,841410,87132,116385,17451,18558
"138","Michigan",5,402627,402627,250416,135924,220006,12882,25431,2422,3569
"139","Minnesota",0,5522744,5522744,2773883,2330156,2355379,180258,172866,151409,140120
"140","Minnesota",1,1432906,1432906,701440,564237,539707,69000,66183,63053,61015
"141","Minnesota",2,1476212,1476212,724271,612303,584958,59514,56377,51065,44326
"142","Minnesota",3,1440681,1440681,718819,639468,637124,38892,35570,29901,26733
"143","Minnesota",4,953118,953118,493783,432898,462827,11645,12902,6599,6940
"144","Minnesota",5,219827,219827,135570,81250,130763,1207,1834,791,1106
"145","Mississippi",0,2987938,2987938,1538688,876660,896694,529720,596704,51943,40968
"146","Mississippi",1,804046,804046,394279,218596,206704,173615,170076,18177,17306
"147","Mississippi",2,796040,796040,401459,224808,215818,157233,173024,19210,12684
"148","Mississippi",3,758434,758434,393150,233467,232898,123494,150821,11257,7626
"149","Mississippi",4,525360,525360,283129,170557,191915,67768,86299,2871,2757
"150","Mississippi",5,104058,104058,66671,29232,49359,7610,16484,428,595
"151","Missouri",0,6087135,6087135,3099395,2498542,2569249,342756,377263,128710,120073
"152","Missouri",1,1542129,1542129,752964,621437,590146,109930,105859,51572,49217
"153","Missouri",2,1612762,1612762,800741,660774,644054,105313,110187,43235,37372
"154","Missouri",3,1570232,1570232,797905,662769,671848,81437,94551,24979,23656
"155","Missouri",4,1111992,1111992,591991,466626,521597,40515,54984,7722,8092
"156","Missouri",5,250020,250020,155794,86936,141604,5561,11682,1202,1736
"157","Montana",0,1040859,1040859,516874,467632,460182,3616,2319,19904,18906
"158","Montana",1,253578,253578,123083,107775,101519,1004,929,8009,7566
"159","Montana",2,270770,270770,130463,122908,113843,1679,830,6919,6052
"160","Montana",3,258134,258134,129455,118059,117944,698,373,3425,3492
"161","Montana",4,215386,215386,108620,101684,102517,222,143,1363,1511
"162","Montana",5,42991,42991,25253,17206,24359,13,44,188,285
"163","Nebraska",0,1905616,1905616,955058,842510,848486,49477,46746,105938,96710
"164","Nebraska",1,526440,526440,256819,226785,215074,17180,16457,45776,43356
"165","Nebraska",2,514712,514712,250727,228323,217404,16333,14297,33624,29417
"166","Nebraska",3,464261,464261,230883,212427,210114,11097,10147,20511,17858
"167","Nebraska",4,320877,320877,167318,145893,158088,4339,4925,5382,5227
"168","Nebraska",5,79326,79326,49311,29082,47806,528,920,645,852
"169","Nevada",0,2917563,2917563,1452754,1118368,1079282,140027,140932,420428,408616
"170","Nevada",1,739222,739222,360621,271689,258192,41866,40288,154205,148738
"171","Nevada",2,804161,804161,394773,302007,282753,44688,43921,137100,129142
"172","Nevada",3,764148,764148,377938,303037,283481,34799,34330,96515,92670
"173","Nevada",4,522973,522973,270423,209191,214127,16497,19431,29111,33041
"174","Nevada",5,87059,87059,48999,32444,40729,2177,2962,3497,5025
"175","New Hampshire",0,1342307,1342307,677657,620450,634946,12001,9379,24369,23404
"176","New Hampshire",1,299809,299809,146729,138346,132546,3593,3332,8904,8599
"177","New Hampshire",2,329518,329518,161360,153306,147437,4135,3033,8841,7658
"178","New Hampshire",3,390150,390150,197501,182233,187425,3243,2160,5038,5118
"179","New Hampshire",4,267318,267318,137946,125605,134029,943,732,1322,1699
"180","New Hampshire",5,55512,55512,34121,20960,33509,87,122,264,330
"181","New Jersey",0,8870827,8870827,4540927,3164651,3283052,627578,695926,882968,878364
"182","New Jersey",1,2186083,2186083,1069033,770864,732690,184986,179823,287459,277394
"183","New Jersey",2,2263374,2263374,1120106,792530,757837,189387,194613,285357,263696
"184","New Jersey",3,2499773,2499773,1279246,910230,932456,167436,193928,222718,224764
"185","New Jersey",4,1549959,1549959,836106,575317,658572,74776,104847,76368,93820
"186","New Jersey",5,371638,371638,236436,115710,201497,10993,22715,11066,18690
"187","New Mexico",0,2091630,2091630,1056015,852841,868385,28673,23800,504101,511072
"188","New Mexico",1,549531,549531,269373,217216,208165,8033,7473,167143,162046
"189","New Mexico",2,558684,558684,271016,229598,215567,9865,7217,150409,144314
"190","New Mexico",3,510761,510761,260720,210249,217923,6837,5359,114425,119061
"191","New Mexico",4,393743,393743,208414,165916,184722,3509,3070,61774,70326
"192","New Mexico",5,78911,78911,46492,29862,42008,429,681,10350,15325
"193","New York",0,19633428,19633428,10103366,6761088,7012249,1610383,1842973,1828370,1879290
"194","New York",1,4654858,4654858,2278113,1588262,1514601,455289,443731,571082,549525
"195","New York",2,5482908,5482908,2748881,1858275,1805227,505531,536458,612895,578956
"196","New York",3,5233236,5233236,2691628,1841841,1869684,411668,499221,442226,466652
"197","New York",4,3433976,3433976,1859484,1223073,1398911,206417,294718,175493,233175
"198","New York",5,828450,828450,525260,249637,423826,31478,68845,26674,50982
"199","North Carolina",0,10154788,10154788,5211076,3550497,3660178,1056049,1197881,484106,447115
"200","North Carolina",1,2570136,2570136,1260401,859919,817975,318379,313603,201581,194329
"201","North Carolina",2,2690689,2690689,1344946,931968,901662,309623,335259,157061,138238
"202","North Carolina",3,2709231,2709231,1393555,976646,994876,267877,321334,102627,89124
"203","North Carolina",4,1824729,1824729,985042,668987,761096,143272,190149,20576,21900
"204","North Carolina",5,360003,360003,227132,112977,184569,16898,37536,2261,3524
"205","North Dakota",0,754434,754434,367423,339174,323507,13104,9116,14845,12732
"206","North Dakota",1,197054,197054,95903,82447,78088,3978,3602,6025,5861
"207","North Dakota",2,228138,228138,105063,104874,90027,6308,3966,6087,4519
"208","North Dakota",3,174434,174434,84583,81687,76809,2329,1304,2230,1816
"209","North Dakota",4,121713,121713,61244,57935,58335,476,224,451,441
"210","North Dakota",5,33095,33095,20630,12231,20248,13,20,52,95
"211","Ohio",0,11634370,11634370,5934732,4711734,4871431,715314,778299,220145,208982
"212","Ohio",1,2923128,2923128,1428552,1153673,1095143,229509,223392,87894,84406
"213","Ohio",2,2989356,2989356,1486381,1206287,1176844,210969,220305,72925,64951
"214","Ohio",3,3072602,3072602,1561556,1288703,1315364,171287,190814,43066,40738
"215","Ohio",4,2163527,2163527,1152403,899823,1009656,89630,116705,14115,15664
"216","Ohio",5,485757,485757,305840,163248,274424,13919,27083,2145,3223
"217","Oklahoma",0,3926331,3926331,1980769,1451956,1475292,152544,151728,213754,194737
"218","Oklahoma",1,1066397,1066397,520234,365467,345652,47820,45446,90368,86775
"219","Oklahoma",2,1077989,1077989,528209,396605,378087,49999,46134,71712,60384
"220","Oklahoma",3,962350,962350,485643,373099,375637,35417,35964,39837,35494
"221","Oklahoma",4,676386,676386,359086,267011,298434,17328,20470,10583,10488
"222","Oklahoma",5,143209,143209,87597,49774,77482,1980,3714,1254,1596
"223","Oregon",0,4089976,4089976,2063350,1770400,1800732,46817,40267,270376,251503
"224","Oregon",1,967724,967724,471952,411509,391069,13449,12894,106782,102540
"225","Oregon",2,1123439,1123439,554208,483285,468926,16104,12937,90959,81338
"226","Oregon",3,1044561,1044561,524918,461670,462824,11897,9077,56413,50183
"227","Oregon",4,796989,796989,417738,354291,388304,4896,4539,14669,15220
"228","Oregon",5,157263,157263,94534,59645,89609,471,820,1553,2222
"229","Pennsylvania",0,12782275,12782275,6523967,5165574,5357721,728124,780976,458957,441159
"230","Pennsylvania",1,3020756,3020756,1477141,1177076,1121694,230515,221231,176380,167397
"231","Pennsylvania",2,3269088,3269088,1613518,1311143,1263818,227553,226385,156353,140992
"232","Pennsylvania",3,3410258,3410258,1731050,1430163,1454603,173939,192970,93216,93102
"233","Pennsylvania",4,2466001,2466001,1310549,1039249,1159113,83756,113275,29266,34050
"234","Pennsylvania",5,616172,616172,391709,207943,358493,12361,27115,3742,5618
"235","Rhode Island",0,1056770,1056770,543087,432899,459410,42227,42913,79789,78750
"236","Rhode Island",1,243883,243883,119899,96340,92447,13281,13185,29757,27908
"237","Rhode Island",2,285684,285684,141269,116591,113314,14245,13700,27793,25564
"238","Rhode Island",3,285031,285031,146973,120811,128499,10021,10326,16426,17844
"239","Rhode Island",4,193187,193187,103217,82877,95199,4100,4589,5177,6330
"240","Rhode Island",5,48985,48985,31729,16280,29951,580,1113,636,1104
"241","South Carolina",0,4957968,4957968,2551324,1669389,1723799,638331,723397,146234,127972
"242","South Carolina",1,1228974,1228974,602986,392757,374510,193229,188620,55321,52859
"243","South Carolina",2,1297756,1297756,651181,430018,418725,187025,202715,51380,39569
"244","South Carolina",3,1283703,1283703,665528,444087,456072,154603,187633,30892,25977
"245","South Carolina",4,971959,971959,522850,347537,389815,92611,121964,7764,8377
"246","South Carolina",5,175576,175576,108779,54990,84677,10863,22465,877,1190
"247","South Dakota",0,862996,862996,427777,369421,364097,10458,7096,17882,15060
"248","South Dakota",1,236929,236929,115067,93085,87514,3387,3035,7913,7407
"249","South Dakota",2,226956,226956,108905,97080,89913,4516,2635,6073,4492
"250","South Dakota",3,206824,206824,102088,93090,90721,2041,1028,3059,2330
"251","South Dakota",4,154240,154240,78196,72053,73153,482,364,739,694
"252","South Dakota",5,38047,38047,23521,14113,22796,32,34,98,137
"253","Tennessee",0,6646010,6646010,3404105,2569120,2662722,536926,598603,185178,165450
"254","Tennessee",1,1665656,1665656,815623,626617,595267,168731,165765,76956,73208
"255","Tennessee",2,1767510,1767510,887187,674213,668042,165923,177693,62601,52076
"256","Tennessee",3,1757162,1757162,900264,698543,716480,130881,153600,36206,30370
"257","Tennessee",4,1218537,1218537,651283,490781,551353,64396,85688,8409,8382
"258","Tennessee",5,237145,237145,149748,78966,131580,6995,15857,1006,1414
"259","Texas",0,27914410,27914410,14048899,11066135,11106444,1704028,1815287,5494668,5424175
"260","Texas",1,8081802,8081802,3956384,3226883,3087264,532012,515496,2019524,1947520
"261","Texas",2,8050784,8050784,3953482,3201445,3035994,546095,558404,1751435,1634977
"262","Texas",3,7021321,7021321,3546314,2789142,2801906,425326,470304,1219205,1228687
"263","Texas",4,3993170,3993170,2122081,1585263,1769201,180109,230417,442663,513443
"264","Texas",5,767333,767333,470638,263402,412079,20486,40666,61841,99548
"265","Utah",0,3041868,3041868,1510737,1394931,1378489,23411,17989,215721,205089
"266","Utah",1,1009657,1009657,492117,463714,440969,8106,7569,89627,85801
"267","Utah",2,925510,925510,454047,423575,409314,8789,6034,70835,64447
"268","Utah",3,650472,650472,323540,302142,298645,4978,3155,42464,40308
"269","Utah",4,382113,382113,198563,174849,188662,1414,1073,11395,12553
"270","Utah",5,74116,74116,42470,30651,40899,124,158,1400,1980
"271","Vermont",0,623657,623657,315605,291412,298867,4538,3513,5983,5643
"272","Vermont",1,139086,139086,67482,65620,61566,1552,1405,2010,1875
"273","Vermont",2,154174,154174,75981,72600,70706,1705,1210,2281,2031
"274","Vermont",3,170919,170919,87123,80448,83519,922,643,1139,1138
"275","Vermont",4,132701,132701,68533,62643,66830,325,220,474,468
"276","Vermont",5,26777,26777,16486,10101,16246,34,35,79,131
"277","Virginia",0,8410106,8410106,4272260,2928334,2965202,798085,864821,398028,372560
"278","Virginia",1,2090698,2090698,1023906,701167,665966,224572,220099,141048,133186
"279","Virginia",2,2320700,2320700,1144033,803988,761096,244755,247185,141953,123224
"280","Virginia",3,2267814,2267814,1155430,806351,810692,208814,234068,91397,86140
"281","Virginia",4,1444457,1444457,770811,527605,585065,106071,135565,21298,25932
"282","Virginia",5,286437,286437,178080,89223,142383,13873,27904,2332,4078
"283","Washington",0,7294771,7294771,3647256,2921612,2905744,163062,139741,471263,439369
"284","Washington",1,1805755,1805755,881051,690478,655342,45255,43385,192074,184103
"285","Washington",2,2073702,2073702,1004128,821657,765127,56761,45285,160082,142319
"286","Washington",3,1889067,1889067,943672,780940,768025,42892,33359,92111,83580
"287","Washington",4,1279514,1279514,669071,539888,583244,16533,15210,24366,25629
"288","Washington",5,246733,246733,149334,88649,134006,1621,2502,2630,3738
"289","West Virginia",0,1831023,1831023,925409,844942,869615,35279,29948,15395,13322
"290","West Virginia",1,418241,418241,203751,195200,185362,8609,8085,5493,4975
"291","West Virginia",2,448148,448148,219513,209196,204211,12212,8345,5383,4257
"292","West Virginia",3,488917,488917,245889,229734,233828,8915,7280,3139,2556
"293","West Virginia",4,394444,394444,205802,180927,197516,4997,5088,1164,1200
"294","West Virginia",5,81273,81273,50454,29885,48698,546,1150,216,334
"295","Wisconsin",0,5772628,5772628,2902362,2512573,2533331,188859,195395,198806,186115
"296","Wisconsin",1,1443520,1443520,705802,599673,571596,68604,65267,83545,80521
"297","Wisconsin",2,1491917,1491917,732080,642235,613744,59966,60425,63835,57341
"298","Wisconsin",3,1535913,1535913,767652,697412,691423,41444,44755,39625,35794
"299","Wisconsin",4,1060788,1060788,547899,484854,513399,16889,21346,10505,10574
"300","Wisconsin",5,240490,240490,148929,88399,143169,1956,3602,1296,1885
"301","Wyoming",0,584215,584215,285818,276859,265816,4443,2883,30396,27307
"302","Wyoming",1,153130,153130,74059,70988,66632,1159,949,11481,10666
"303","Wyoming",2,159856,159856,76145,76641,69886,1790,968,9983,8378
"304","Wyoming",3,143449,143449,70041,69202,66082,1018,575,6050,5371
"305","Wyoming",4,107532,107532,53602,51970,51568,441,336,2537,2422
"306","Wyoming",5,20248,20248,11971,8058,11648,35,55,345,470
