"","STNAME","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","H_MALE","H_FEMALE"
"1","Alabama",0,4863525,4863525,2507926,1657506,1716600,606906,694729,109481,95899
"2","Alabama",1,1225173,1225173,601608,404196,385675,185150,181397,44923,42878
"3","Alabama",2,1272408,1272408,643669,420957,413639,181406,202919,36828,29103
"4","Alabama",3,1275913,1275913,657890,450686,456019,147278,180190,21577,17660
"5","Alabama",4,908758,908758,490036,326207,370094,83084,108501,5410,5227
"6","Alabama",5,181273,181273,114723,55460,91173,9988,21722,743,1031
"7","Alaska",0,741456,741456,353421,260867,229891,15554,12005,27348,24622
"8","Alaska",1,204238,204238,98784,58659,54498,3907,3795,10159,9635
"9","Alaska",2,227027,227027,104251,81922,67057,6442,4116,10818,8436
"10","Alaska",3,187540,187540,89546,71367,63013,3717,2668,4776,4754
"11","Alaska",4,109351,109351,53042,44559,39643,1372,1244,1466,1617
"12","Alaska",5,13300,13300,7798,4360,5680,116,182,129,180
"13","Arizona",0,6941072,6941072,3490712,2870168,2903454,176416,164522,1085282,1072710
"14","Arizona",1,1823371,1823371,892648,729923,698516,54392,51479,406427,391212
"15","Arizona",2,1871456,1871456,905886,770783,723197,60400,51509,355115,330326
"16","Arizona",3,1691146,1691146,856698,708986,723045,42173,39389,228412,235826
"17","Arizona",4,1283865,1283865,681454,549906,615143,17476,19045,83758,97926
"18","Arizona",5,271234,271234,154026,110570,143553,1975,3100,11570,17420
"19","Arkansas",0,2989918,2989918,1520965,1172127,1200682,223554,245471,115181,104207
"20","Arkansas",1,784242,784242,382853,299344,283524,73340,71597,47391,45206
"21","Arkansas",2,784909,784909,389907,304533,295965,67609,71601,38138,32364
"22","Arkansas",3,753149,753149,382670,305145,306937,51269,60418,23414,20533
"23","Arkansas",4,550749,550749,293590,222482,250624,27971,34861,5639,5334
"24","Arkansas",5,116869,116869,71945,40623,63632,3365,6994,599,770
"25","California",0,39167117,39167117,19705795,14281799,14202244,1255704,1281427,7649106,7556623
"26","California",1,10122391,10122391,4950794,3740933,3582870,332454,319980,2660889,2566110
"27","California",2,11391557,11391557,5546747,4203151,3895016,403564,378964,2518986,2361960
"28","California",3,10176162,10176162,5124333,3735815,3659515,333041,342735,1771945,1764951
"29","California",4,6124642,6124642,3263414,2187196,2430815,162273,197495,605236,716550
"30","California",5,1352365,1352365,820507,414704,634028,24372,42253,92050,147052
"31","Colorado",0,5539215,5539215,2752430,2437482,2404837,132851,117287,602817,579989
"32","Colorado",1,1404433,1404433,684769,604499,571732,37622,35503,221591,211845
"33","Colorado",2,1622608,1622608,778629,725274,667390,45861,36737,198794,180435
"34","Colorado",3,1443301,1443301,717606,645201,636983,34288,28536,129889,126808
"35","Colorado",4,903874,903874,471526,401228,435094,13409,13861,46262,51622
"36","Colorado",5,164999,164999,99900,61280,93638,1671,2650,6281,9279
"37","Connecticut",0,3578141,3578141,1832910,1412252,1474747,199970,218893,278742,280753
"38","Connecticut",1,855972,855972,418988,330098,314830,60712,58437,99004,95791
"39","Connecticut",2,897548,897548,443141,346668,332919,63979,65587,93755,88872
"40","Connecticut",3,1006526,1006526,517890,407793,424786,50521,59560,63473,67331
"41","Connecticut",4,654975,654975,349543,272380,306999,21744,29284,19905,24524
"42","Connecticut",5,163120,163120,103348,55313,95213,3014,6025,2605,4235
"43","Delaware",0,948921,948921,489981,324145,340942,101371,113702,43570,41927
"44","Delaware",1,228676,228676,113115,72205,70106,31245,30906,17015,16933
"45","Delaware",2,243418,243418,121992,81032,79285,29484,31629,14421,13118
"46","Delaware",3,247569,247569,128920,86114,90399,25755,30904,9167,8547
"47","Delaware",4,190988,190988,102873,71750,81746,13196,17213,2605,2850
"48","Delaware",5,38270,38270,23081,13044,19406,1691,3050,362,479
"49","District of Columbia",0,685815,685815,360350,153323,152381,148929,178828,37981,36664
"50","District of Columbia",1,142212,142212,71507,24350,24906,40434,40564,10945,10851
"51","District of Columbia",2,272472,272472,144147,72623,76591,44932,53082,15522,14532
"52","District of Columbia",3,155830,155830,78165,35820,28525,37134,44042,8907,7477
"53","District of Columbia",4,94027,94027,52686,17391,18139,22393,31991,2327,3271
"54","District of Columbia",5,21274,21274,13845,3139,4220,4036,9149,280,533
"55","Florida",0,20613477,20613477,10533219,7861707,8140881,1673065,1799462,2558266,2621528
"56","Florida",1,4628015,4628015,2262059,1659900,1575934,520319,505362,724133,691107
"57","Florida",2,5214823,5214823,2577060,1952049,1865774,522524,539217,795395,742721
"58","Florida",3,5410010,5410010,2768764,2112980,2166776,403406,454554,687585,713085
"59","Florida",4,4294778,4294778,2305424,1726837,1974275,199336,251111,292854,377041
"60","Florida",5,1065851,1065851,619912,409941,558122,27480,49218,58299,97574
"61","Georgia",0,10301890,10301890,5286933,3131021,3174938,1544012,1754856,507822,460659
"62","Georgia",1,2789254,2789254,1368525,804997,765003,492022,483855,199874,190852
"63","Georgia",2,2833547,2833547,1428721,832209,797565,468793,521015,169973,143101
"64","Georgia",3,2754751,2754751,1421208,865119,863379,389605,471600,111578,97444
